wavelength,flux
7275.663052,2.29563e-16
7279.878725,2.41434e-16
7284.094398,2.1927e-16
7288.310071,2.31757e-16
7292.525744,2.57224e-16
7296.741417,2.59326e-16
7300.95709,2.54598e-16
7305.172763,2.53516e-16
7309.388436,2.5825e-16
7313.604109,2.56644e-16
7317.819782,2.71785e-16
7322.035455,2.57757e-16
7326.251129,2.79475e-16
7330.466802,3.00061e-16
7334.682475,3.09098e-16
7338.898148,2.87482e-16
7343.113821,2.7185e-16
7347.329494,2.83706e-16
7351.545167,2.94232e-16
7355.76084,2.96928e-16
7359.976513,2.92228e-16
7364.192186,3.02164e-16
7368.407859,2.97618e-16
7372.623532,2.7023e-16
7376.839205,2.7309e-16
7381.054879,2.7642e-16
7385.270552,3.28271e-16
7389.486225,3.16777e-16
7393.701898,3.05815e-16
7397.917571,3.07379e-16
7402.133244,2.82965e-16
7406.348917,2.74004e-16
7410.56459,2.87335e-16
7414.780263,3.085e-16
7418.995936,2.85164e-16
7423.211609,3.03692e-16
7427.427282,3.02299e-16
7431.642955,2.8396e-16
7435.858628,2.86243e-16
7440.074302,2.77325e-16
7444.289975,2.99231e-16
7448.505648,2.88491e-16
7452.721321,2.76998e-16
7456.936994,2.66503e-16
7461.152667,2.53503e-16
7465.36834,2.5757e-16
7469.584013,2.58605e-16
7473.799686,2.81116e-16
7478.015359,2.80795e-16
7482.231032,2.66434e-16
7486.446705,2.56686e-16
7490.662378,2.16633e-16
7494.878052,2.40774e-16
7499.093725,2.04273e-16
7503.309398,2.46953e-16
7507.525071,2.56881e-16
7511.740744,2.32352e-16
7515.956417,2.28792e-16
7520.17209,2.35352e-16
7524.387763,2.43931e-16
7528.603436,2.6226e-16
7532.819109,2.96461e-16
7537.034782,2.54866e-16
7541.250455,2.22867e-16
7545.466128,2.44839e-16
7549.681801,2.38571e-16
7553.897475,2.4552e-16
7558.113148,2.47145e-16
7562.328821,2.5346e-16
7566.544494,2.57554e-16
7570.760167,2.55116e-16
7574.97584,2.35874e-16
7579.191513,2.39893e-16
7583.407186,2.17786e-16
7587.622859,2.0959e-16
7591.838532,1.69104e-16
7596.054205,1.09326e-16
7600.269878,1.15275e-16
7604.485551,2.4e-16
7608.701225,3.4748e-16
7612.916898,3.31323e-16
7617.132571,2.86755e-16
7621.348244,2.1159e-16
7625.563917,1.99636e-16
7629.77959,1.86132e-16
7633.995263,2.3716e-16
7638.210936,2.42472e-16
7642.426609,2.40008e-16
7646.642282,2.53089e-16
7650.857955,2.17415e-16
7655.073628,2.08337e-16
7659.289301,2.04973e-16
7663.504974,2.22638e-16
7667.720648,2.14522e-16
7671.936321,2.35738e-16
7676.151994,2.36402e-16
7680.367667,2.50938e-16
7684.58334,2.3808e-16
7688.799013,2.29222e-16
7693.014686,2.16435e-16
7697.230359,2.0006e-16
7701.446032,1.96685e-16
7705.661705,1.97052e-16
7709.877378,2.00766e-16
7714.093051,2.16023e-16
7718.308724,2.42243e-16
7722.524398,2.37672e-16
7726.740071,1.95949e-16
