Name,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.B.170113_0342.C.049079.061035N3413.0060.nh.fits,57,743.154872685,92.6547332578,-34.1410812576,28.2419398209,32.8870758461,20.5444298705,0.0340452440514,23.9232498107
N2188-1.Q2.B.170223_2202.S.057900.061035N3413.0060.nh.fits,58,784.918090278,92.6547205419,-34.1411368717,23.6589626834,14.8249976262,20.7375997164,0.0747820398337,22.6227851778
N2188-1.Q2.B.170116_0232.C.049761.061035N3413.0060.nh.fits,59,746.105636574,92.6547232365,-34.1410703853,28.9041320578,34.0355143657,20.5191455618,0.0329045835379,23.8454486941
N2188-1.Q2.B.170502_0916.A.056795.061035N3413.0060.nh.fits,60,852.386689815,92.6548722615,-34.1411092896,nan,nan,nan,nan,20.8747518276
N2188-1.Q2.B.161115_0738.C.036982.061035N3413.0060.nh.fits,61,684.3184375,92.6548805004,-34.1411127194,nan,nan,nan,nan,21.5213199456
N2188-1.Q2.B.170219_1035.A.045189.061035N3413.0060.nh.fits,62,780.441365741,92.6548265954,-34.1411164128,15.4607891628,5.59558151851,21.2017269886,0.197507053883,21.9091847001
N2188-1.Q2.B.161220_2129.S.047197.061035N3413.0060.nh.fits,63,719.895659722,92.6549419999,-34.1413115369,0.839595983957,0.420402962494,24.3798121873,2.62595663886,22.2323733539
N2188-1.Q2.B.161218_0445.C.043604.061035N3413.0060.nh.fits,64,717.19837963,92.654878486,-34.1411280472,-0.170337075471,-0.455336811219,nan,nan,24.1704322135
N2188-1.Q2.B.170217_0325.C.056069.061035N3413.0060.nh.fits,65,778.142673611,92.6547358045,-34.1411021409,20.4879859398,24.9052635,20.8945907532,0.0447250674938,23.7331614244
N2188-1.Q2.B.161218_0700.C.043664.061035N3413.0060.nh.fits,66,717.29212963,92.6548126844,-34.1411246311,-0.941221882188,-3.01814859721,nan,nan,24.2036381037
N2188-1.Q2.B.170418_0933.A.054899.061035N3413.0060.nh.fits,67,838.398275463,92.6547239467,-34.1413334059,8.85257672993,0.978254039078,21.8100378273,1.12853553304,20.6252296528
