Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand
N2188-1.Q2.V.170319_2031.S.063954.061035N3413.0060.nh.fits,2017-03-19T20:31:00.000,S,1281,808.855231481,92.6544519294,-34.1410895481,59.8844813032,7.19940569817,19.5528731737,0.15339156629,20.5178085586,6.58820304308,1.45765951203,0.138900353991,0.021821175668
N2188-1.Q2.V.161129_0619.C.039878.061035N3413.0060.nh.fits,2016-11-29T06:19:00.000,C,1282,698.263391204,92.6539574179,-34.1409398623,1.83431322883,1.01863531704,23.3556412484,1.08390951458,22.1856831618,2.47528075037,1.71062638677,0.981705604817,0.15294696314
N2188-1.Q2.V.170129_2033.S.053375.061035N3413.0060.nh.fits,2017-01-29T20:33:00.000,S,1283,759.856782407,92.6547072003,-34.1410678948,87.5800297479,30.4395853654,19.1381650937,0.0364309366908,21.7804319896,3.86156366151,1.63071230231,0.0328519586583,0.00599145332598
N2188-1.Q2.V.170207_0136.C.053563.061035N3413.0060.nh.fits,2017-02-07T01:36:00.000,C,1284,768.066782407,92.6546379216,-34.141049604,75.3791078948,13.5901933436,19.3018321805,0.0813421692112,20.970819424,4.38663022266,1.63760388285,0.0735824704417,0.0120401328216
N2188-1.Q2.V.170305_0201.C.059948.061035N3413.0060.nh.fits,2017-03-05T02:01:00.000,C,1285,794.084236111,92.6547271152,-34.1410899905,75.7751964914,33.1450647697,19.2961146729,0.0334878401889,22.0547049006,2.50178510607,1.56163458714,0.0301704041597,0.00565660934913
N2188-1.Q2.V.170227_1034.A.046886.061035N3413.0060.nh.fits,2017-02-27T10:34:00.000,A,1286,788.440821759,92.6546150634,-34.1410753249,81.0034984931,21.5814800975,19.2233251899,0.051292939181,21.4643383771,4.54428164902,1.62017442599,0.046336024938,0.0079723332472
N2188-1.Q2.V.170125_1949.S.052600.061035N3413.0060.nh.fits,2017-01-25T19:49:00.000,S,1287,755.826087963,92.6546914585,-34.1410713766,98.0407006733,25.1299945819,19.0150737829,0.0440797676181,21.4031392731,4.47129616902,1.714000581,0.0397930845842,0.00700544359667
N2188-1.Q2.V.161116_0024.S.041444.061035N3413.0060.nh.fits,2016-11-16T00:24:00.000,S,1288,685.017210648,92.6548308549,-34.1412551052,2.82648225032,0.768890010346,22.8839560642,1.43597053128,21.4589709706,2.652584364,1.57286674955,1.30057613774,0.202586473861
N2188-1.Q2.V.170307_1959.S.061074.061035N3413.0060.nh.fits,2017-03-07T19:59:00.000,S,1289,796.833217593,92.6546836786,-34.1410619799,72.7336849464,16.190177548,19.3408068711,0.0683103897029,21.2246534525,3.84313543564,1.62590520151,0.0617658451882,0.0102809828574
N2188-1.Q2.V.170201_1919.S.054071.061035N3413.0060.nh.fits,2017-02-01T19:19:00.000,S,1290,762.80505787,92.6546711241,-34.141090003,84.5066921592,29.6640817384,19.1771362263,0.0373796212724,21.7816315046,3.71289588154,1.66488204352,0.0337108024721,0.00612903316879
