Name,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.I.170418_1822.S.005281.061035N3413.0060.nh.fits,572,838.765659722,92.6547061838,-34.1410611161,15.2988659045,7.06464120129,20.6533649273,0.157719365164,21.6378000865
N2188-1.Q2.I.170301_0226.C.058997.061035N3413.0060.nh.fits,573,790.101458333,92.6547518106,-34.1410856462,52.6405905045,27.9081075096,19.3052712032,0.0414411398215,21.8075816586
N2188-1.Q2.I.170408_0158.C.003091.061035N3413.0060.nh.fits,574,828.082233796,92.6547759652,-34.1411378506,30.8355997834,10.773316831,19.8887293037,0.103912362318,21.29511428
N2188-1.Q2.I.161218_0556.C.043636.061035N3413.0060.nh.fits,575,717.2478125,92.6544963179,-34.141228709,0.330137247428,0.589938001546,24.838268284,1.88171127854,23.0523538517
N2188-1.Q2.I.170315_1830.S.062821.061035N3413.0060.nh.fits,576,804.771064815,92.6547560208,-34.1411084601,48.705587096,30.9370990396,19.3900310311,0.0376401068965,22.0608648526
N2188-1.Q2.I.161216_0050.S.046075.061035N3413.0060.nh.fits,577,715.035208333,92.6546272448,-34.1413162812,3.6367973224,1.1233372772,22.2207025575,0.98750581501,21.137862363
N2188-1.Q2.I.170327_0050.C.065261.061035N3413.0060.nh.fits,578,816.035266204,92.6547287881,-34.1410775277,28.2716525236,34.85072299,19.9834347328,0.033746946081,23.0503773846
N2188-1.Q2.I.170117_1104.A.041891.061035N3413.0060.nh.fits,579,747.461180556,92.6547273664,-34.1410958215,67.926790777,38.8014515868,19.0271416984,0.0306129254163,22.0301941874
N2188-1.Q2.I.170215_0226.C.055528.061035N3413.0060.nh.fits,580,776.101747685,92.6547338928,-34.1410723048,39.8532495114,42.5070031155,19.6088640229,0.0282204709579,22.8320308363
N2188-1.Q2.I.161201_0415.C.040296.061035N3413.0060.nh.fits,581,700.177569444,92.6548108507,-34.1412031391,0.624192765812,0.546177910467,24.1433882809,2.03192714273,22.3305235973
N2188-1.Q2.I.161216_0742.C.043205.061035N3413.0060.nh.fits,582,715.32125,92.654789654,-34.1412040259,-0.694207356062,-0.728749559712,nan,nan,22.4719657573
N2188-1.Q2.I.170327_1138.A.050486.061035N3413.0060.nh.fits,583,816.485393519,92.6547580501,-34.1410984861,56.1746805626,28.3381650636,19.2343829172,0.0408512012829,21.8071099355
