wavelength,flux
3852.114869,5.861589E-16
3856.18518,5.701217E-16
3860.255492,5.391638E-16
3864.325803,5.069642E-16
3868.396114,4.300786E-16
3872.466426,4.15627e-16
3876.536737,3.943967E-16
3880.607049,3.339883E-16
3884.67736,2.784188E-16
3888.747672,3.334321E-16
3892.817983,3.220337E-16
3896.888295,2.466944E-16
3900.958606,2.082926E-16
3905.028918,2.58751e-16
3909.099229,3.03013e-16
3913.169541,2.973877E-16
3917.239852,2.829029E-16
3921.310164,3.275558E-16
3925.380475,3.654279E-16
3929.450787,3.575015E-16
3933.521098,4.300475E-16
3937.59141,4.636648E-16
3941.661721,4.661627E-16
3945.732033,5.52695e-16
3949.802344,6.5152e-16
3953.872656,7.294465E-16
3957.942967,9.130018E-16
3962.013279,9.433429E-16
3966.08359,1.13996e-15
3970.153902,1.271714E-15
3974.224213,1.342301E-15
3978.294525,1.442107E-15
3982.364836,1.542409E-15
3986.435148,1.570212E-15
3990.505459,1.55314e-15
3994.575771,1.578952E-15
3998.646082,1.565858E-15
4002.716394,1.463335E-15
4006.786705,1.390254E-15
4010.857017,1.370722E-15
4014.927328,1.410562E-15
4018.99764,1.342869E-15
4023.067951,1.321123E-15
4027.138263,1.269268E-15
4031.208574,1.259869E-15
4035.278886,1.369875E-15
4039.349197,1.430998E-15
4043.419509,1.360268E-15
4047.48982,1.229225E-15
4051.560132,1.134886E-15
4055.630443,1.005111E-15
4059.700755,9.117848E-16
4063.771066,8.827822E-16
4067.841378,8.609485E-16
4071.911689,9.723973E-16
4075.982001,1.129958E-15
4080.052312,1.34885e-15
4084.122624,1.657746E-15
4088.192935,2.027408E-15
4092.263247,2.376814E-15
4096.333558,2.465181E-15
4100.40387,2.544814E-15
4104.474181,2.657983E-15
4108.544493,2.771307E-15
4112.614804,2.705497E-15
4116.685116,2.505802E-15
4120.755427,2.350952E-15
4124.825739,2.210145E-15
4128.89605,2.229311E-15
4132.966362,2.288283E-15
4137.036673,2.310428E-15
4141.106985,2.281313E-15
4145.177296,2.165445E-15
4149.247608,2.041634E-15
4153.317919,1.86228e-15
4157.388231,1.702689E-15
4161.458542,1.649033E-15
4165.528854,1.644353E-15
4169.599165,1.720085E-15
4173.669477,1.87342e-15
4177.739788,2.060953E-15
