Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand
N2188-1.Q2.I.170305_1851.S.060446.061035N3413.0060.nh.fits,2017-03-05T18:51:00.000,S,527,429.785972222,92.6547350748,-34.1410833264,61.7595677124,28.3417527769,19.1309798636,0.0399637748667,21.6728421704,3.53319187049,1.77662984661,0.0352836328745,0.00984787198251
N2188-1.Q2.I.161025_1628.A.029616.061035N3413.0060.nh.fits,2016-10-25T16:28:00.000,A,528,298.686458333,92.655667115,-34.14161617,1.16558191357,0.297605859972,23.4620734201,3.71890544961,21.0184683024,4.02588281346,1.64581740252,3.36014888985,0.574312033448
N2188-1.Q2.I.170309_0959.A.048422.061035N3413.0060.nh.fits,2017-03-09T09:59:00.000,A,529,433.416226852,92.6547425601,-34.141094659,60.3074493872,23.0975249394,19.1569370791,0.0488018314674,21.5130927125,3.49326242177,1.55691213043,0.0432946821195,0.0112538894514
N2188-1.Q2.I.170305_2000.S.060477.061035N3413.0060.nh.fits,2017-03-05T20:00:00.000,S,530,429.833553241,92.6547460419,-34.1410885647,61.490565936,38.0537695795,19.135742006,0.0300161037406,22.1017568951,3.1519874115,1.68674067207,0.0262786055376,0.00815128013294
N2188-1.Q2.I.161213_0645.C.042914.061035N3413.0060.nh.fits,2016-12-13T06:45:00.000,C,531,347.28130787,92.6548395735,-34.1411744722,-0.00355652939374,-0.00454435101823,nan,nan,22.6735262184,1.94559820609,1.50382607459,-220.053423688,-38.2296801729
N2188-1.Q2.I.170227_1255.A.046949.061035N3413.0060.nh.fits,2017-02-27T12:55:00.000,A,532,423.538842593,92.654771912,-34.1410841986,62.6804627498,19.595392096,19.1148328618,0.057304414971,21.2022138172,5.30362226714,1.50797263969,0.0510324057361,0.012441818693
N2188-1.Q2.I.161119_0211.S.041915.061035N3413.0060.nh.fits,2016-11-19T02:11:00.000,S,533,323.091319444,92.6548615671,-34.1411280169,-3.30446501509,-1.26448083375,nan,nan,21.4381048198,3.69359030352,1.77952088887,-0.790838400481,-0.135729507547
N2188-1.Q2.I.161030_0559.C.034165.061035N3413.0060.nh.fits,2016-10-30T05:59:00.000,C,534,303.249953704,92.6548356871,-34.1411439606,1.05262446155,0.572295125826,23.5732780062,1.93439694748,21.8136905836,3.3729480409,1.36617922845,1.74735019551,0.301285315996
N2188-1.Q2.I.161228_1212.A.040099.061035N3413.0060.nh.fits,2016-12-28T12:12:00.000,A,535,362.508460648,92.6547720471,-34.1410508508,46.7331281065,12.1189061945,19.4351313057,0.0920182437375,21.0794610435,3.88313849626,1.66486165677,0.0825156976998,0.0174810644377
N2188-1.Q2.I.161217_2345.S.046537.061035N3413.0060.nh.fits,2016-12-17T23:45:00.000,S,536,351.990150463,92.6544437859,-34.1416631409,2.20235630368,0.646964855667,22.7678953279,1.71043456588,21.1456761079,4.64881311039,2.03272995175,1.54567901369,0.262692705542
N2188-1.Q2.I.170125_0133.C.051505.061035N3413.0060.nh.fits,2017-01-25T01:33:00.000,C,537,390.064594907,92.6547489588,-34.1410931204,60.9940522033,24.1169617598,19.1445867656,0.0467845970572,21.5261669125,3.509826746,1.47770130296,0.0414645928439,0.010943308026
N2188-1.Q2.I.170118_2034.S.051385.061035N3413.0060.nh.fits,2017-01-18T20:34:00.000,S,538,383.857013889,92.6547617361,-34.1411046745,64.1801513347,28.6640250375,19.0890382824,0.0395205171692,21.638723149,4.30909049938,1.57340535257,0.0348869357563,0.00975778947184
N2188-1.Q2.I.170331_0237.C.000918.061035N3413.0060.nh.fits,2017-03-31T02:37:00.000,C,539,455.109664352,92.6547588752,-34.1410908911,45.6238937822,27.7774616979,19.4613377564,0.0407596466278,21.9861860412,3.18666753204,1.46991476684,0.0360004096442,0.00999330130693
N2188-1.Q2.I.161215_0045.S.045874.061035N3413.0060.nh.fits,2016-12-15T00:45:00.000,S,540,349.031539352,92.6553891612,-34.1410304654,2.86028344211,1.81776545097,22.4827293443,0.609178618292,21.9367678818,2.97101022945,1.61580292611,0.550125979932,0.0957351082733
N2188-1.Q2.I.170303_1305.A.047447.061035N3413.0060.nh.fits,2017-03-03T13:05:00.000,A,541,427.545266204,92.6547598651,-34.1411021683,62.2287926355,14.8985208213,19.1227225996,0.0750247751451,20.9309233954,5.8827606859,1.49157965335,0.0671207572882,0.0149717920804
N2188-1.Q2.I.161202_0640.C.040592.061035N3413.0060.nh.fits,2016-12-02T06:40:00.000,C,542,336.278344907,92.6547863619,-34.1415423309,0.760397879498,1.2292679543,23.9280541998,0.900866695566,23.0239170182,2.06899319574,1.50699539609,0.813492287424,0.141839667132
N2188-1.Q2.I.161205_0644.C.041323.061035N3413.0060.nh.fits,2016-12-05T06:44:00.000,C,543,339.280902778,92.6548240044,-34.1409207229,1.72354858881,0.252675620046,23.0353330229,4.38148581471,20.3941941212,2.15515363932,1.62632690148,3.95764339993,0.68343215603
